Date,AAPL,MSFT,TSLA
2020-01-02,72.62083435058594,153.04226684570312,28.68400001525879
2020-01-03,71.91482543945312,151.1366424560547,29.534000396728516
2020-01-06,72.48785400390625,151.5272979736328,30.1026668548584
2020-01-07,72.1469497680664,150.14572143554688,31.270666122436523
2020-01-08,73.30751037597656,152.53729248046875,32.80933380126953
2020-01-09,74.86463165283203,154.44296264648438,32.089332580566406
2020-01-10,75.03386688232422,153.72836303710938,31.876667022705078
2020-01-13,76.63691711425781,155.57681274414062,34.990665435791016
2020-01-14,75.60209655761719,154.48106384277344,35.861331939697266
2020-01-15,75.27808380126953,155.48153686523438,34.56666564941406
2020-01-16,76.2210464477539,158.33045959472656,34.232666015625
2020-01-17,77.06491088867188,159.21661376953125,34.03333282470703
2020-01-21,76.54264068603516,158.64491271972656,36.47999954223633
2020-01-22,76.81584167480469,157.8826141357422,37.97066879272461
2020-01-23,77.1857681274414,158.8544921875,38.14666748046875
2020-01-24,76.96333312988281,157.2537384033203,37.654666900634766
2020-01-27,74.70021057128906,154.62396240234375,37.201332092285156
2020-01-28,76.81343841552734,157.65402221679688,37.793331146240234
2020-01-29,78.42131805419922,160.11224365234375,38.732666015625
2020-01-30,78.30767822265625,164.62863159179688,42.72066879272461
2020-01-31,74.83561706542969,162.1988983154297,43.371334075927734
2020-02-03,74.63008880615234,166.1531982421875,52.0
2020-02-04,77.0938949584961,171.6223602294922,59.137332916259766
2020-02-05,77.72256469726562,171.41265869140625,48.97999954223633
2020-02-06,78.63166809082031,174.9667510986328,49.930667877197266
2020-02-07,77.56285858154297,175.21446228027344,49.871334075927734
2020-02-10,77.93123626708984,179.7975616455078,51.41866683959961
2020-02-11,77.46106719970703,175.73855590820312,51.62533187866211
2020-02-12,79.30059051513672,175.99583435058594,51.15266799926758
2020-02-13,78.73589324951172,175.04296875,53.599998474121094
2020-02-14,78.75527954101562,176.6055908203125,53.33533477783203
2020-02-18,77.313232421875,178.3968963623047,57.22666549682617
2020-02-19,78.43291473388672,178.93194580078125,61.16133117675781
2020-02-20,77.6282958984375,176.19943237304688,59.96066665649414
2020-02-21,75.87116241455078,170.6293182373047,60.06666564941406
2020-02-24,72.26728057861328,163.2725372314453,55.58599853515625
2020-02-25,69.81939697265625,160.57823181152344,53.32733154296875
2020-02-26,70.927001953125,162.58462524414062,51.91999816894531
2020-02-27,66.2906265258789,151.12905883789062,45.266666412353516
2020-02-28,66.25186157226562,154.78831481933594,44.53266525268555
2020-03-02,72.4199447631836,165.08782958984375,49.574668884277344
2020-03-03,70.11994171142578,157.17691040039062,49.70066833496094
2020-03-04,73.37242126464844,162.94766235351562,49.96666717529297
2020-03-05,70.9924545288086,158.85850524902344,48.30266571044922
2020-03-06,70.04966735839844,154.3679962158203,46.89866638183594
2020-03-09,64.50928497314453,143.9060821533203,40.53333282470703
2020-03-10,69.15534210205078,153.74693298339844,43.02199935913086
2020-03-11,66.75355529785156,146.78187561035156,42.28200149536133
2020-03-12,60.16131591796875,132.861328125,37.369998931884766
2020-03-13,67.3691635131836,151.75010681152344,36.44133377075195
2020-03-16,58.70231246948242,129.38365173339844,29.67133331298828
2020-03-17,61.28345489501953,140.0365753173828,28.68000030517578
2020-03-18,59.78323745727539,134.14161682128906,24.08133316040039
2020-03-19,59.32516860961914,136.34864807128906,28.50933265686035
2020-03-20,55.55888366699219,131.22760009765625,28.50200080871582
2020-03-23,54.37858200073242,129.91864013671875,28.952667236328125
2020-03-24,59.834129333496094,141.72772216796875,33.66666793823242
2020-03-25,59.504520416259766,140.37100219726562,35.95000076293945
2020-03-26,62.635833740234375,149.1513671875,35.21066665649414
2020-03-27,60.04256820678711,143.02708435058594,34.29066848754883
2020-03-30,61.756065368652344,153.087646484375,33.47533416748047
2020-03-31,61.63002395629883,150.68006896972656,34.93333435058594
2020-04-01,58.38723373413086,145.32965087890625,32.104000091552734
2020-04-02,59.36153030395508,148.33924865722656,30.29800033569336
2020-04-03,58.50841522216797,146.9729766845703,32.000667572021484
2020-04-06,63.612552642822266,157.9030303955078,34.41600036621094
2020-04-07,62.875770568847656,156.20237731933594,36.36333465576172
2020-04-08,64.48504638671875,157.76925659179688,36.589332580566406
2020-04-09,64.95037078857422,157.7788848876953,38.20000076293945
2020-04-13,66.22520446777344,158.13229370117188,43.39666748046875
2020-04-14,69.56977844238281,165.957275390625,47.32600021362305
2020-04-15,68.93479919433594,164.21839904785156,48.65533447265625
2020-04-16,69.48252868652344,169.14837646484375,49.680667877197266
2020-04-17,68.53974151611328,170.63885498046875,50.259334564208984
2020-04-20,67.11710357666016,167.25668334960938,49.75733184814453
2020-04-21,65.04247283935547,160.33935546875,45.781333923339844
2020-04-22,66.91593933105469,165.78529357910156,48.807334899902344
2020-04-23,66.65660095214844,163.77890014648438,47.04199981689453
2020-04-24,68.58094787597656,166.76939392089844,48.34333419799805
2020-04-27,68.62943267822266,166.2916717529297,53.25
2020-04-28,67.51698303222656,162.24063110351562,51.27466583251953
2020-04-29,69.7345962524414,169.5210418701172,53.367332458496094
2020-04-30,71.2057113647461,171.22164916992188,52.12533187866211
2020-05-01,70.05936431884766,166.7884979248047,46.75466537475586
2020-05-04,71.05059814453125,170.86813354492188,50.74599838256836
2020-05-05,72.11700439453125,172.7025909423828,51.2140007019043
2020-05-06,72.86103820800781,174.40322875976562,52.172000885009766
2020-05-07,73.61479187011719,175.41600036621094,52.00266647338867
2020-05-08,75.3669662475586,176.44784545898438,54.62799835205078
2020-05-11,76.5528793334961,178.416015625,54.08599853515625
