Date,AAPL,MSFT,TSLA
2020-01-03,-0.06895869198437661,-0.06386999822153087,-0.041193361265500036
2020-01-06,-0.051268685027299934,-0.048833593041698806,-0.051571982518285917
2020-01-07,-0.06393975653357005,-0.060536050878404454,-0.03202609490526691
2020-01-08,-0.04315077508898153,-0.03549004369104462,-0.0216217937752992
2020-01-09,-0.03799588969900698,-0.03892523393408824,-0.09277163146351823
2020-01-10,-0.056976291440203955,-0.0560453249984884,-0.07745391719659504
2020-01-13,-0.037872485421221194,-0.039394247407079905,0.026862339287512207
2020-01-14,-0.07273974032619974,-0.058461514272048085,-0.04594379744322001
2020-01-15,-0.06352260542528372,-0.0449420293489418,-0.10692863307647875
2020-01-16,-0.046710451121350596,-0.033095154579117644,-0.08048909719943569
2020-01-17,-0.04816556265195933,-0.04582151186823018,-0.07664951372033484
2020-01-21,-0.06601385814760193,-0.05500908893746774,0.0010636866293684683
2020-01-22,-0.05566757599265555,-0.05622343829702452,-0.02996397512280362
2020-01-23,-0.05442108392826224,-0.04526267638201946,-0.06619149741940782
2020-01-24,-0.06211865487476538,-0.06149523229165947,-0.08372422274424633
2020-01-27,-0.08864204587441034,-0.06814151486779112,-0.08286589239900026
2020-01-28,-0.03094739162958622,-0.03182206204393005,-0.05491323634137628
2020-01-29,-0.03830457117886839,-0.03582586972013639,-0.04597210579351722
2020-01-30,-0.06068593487712044,-0.023210740339413102,0.03213563910193469
2020-01-31,-0.10357554770523476,-0.06617725093909492,-0.05559592908991577
2020-02-03,-0.06198323752473529,-0.027039049995075268,0.12812197420052834
2020-02-04,-0.02622326467371512,-0.018501995602460394,0.06642978267234385
2020-02-05,-0.0510822430364873,-0.05264025437944535,-0.2425850143562081
2020-02-06,-0.047540065719984995,-0.030684246320256833,-0.051417302620876446
2020-02-07,-0.0728294501302343,-0.050002615207910314,-0.07201494336905227
2020-02-10,-0.05448743294283605,-0.025261292903606722,-0.03980012323356323
2020-02-11,-0.06526996853732976,-0.07399379815179068,-0.06680735862639202
2020-02-12,-0.03548912667209898,-0.04995439261270178,-0.07998227749711632
2020-02-13,-0.06635781301886197,-0.05683251389875903,-0.022982967011641084
2020-02-14,-0.058990622022385544,-0.042491299603243424,-0.07576437523176931
2020-02-18,-0.07754732314057929,-0.04127540477766249,0.0021330934524148165
2020-02-19,-0.04475442632221889,-0.048419168437501756,-0.002070810610165272
2020-02-20,-0.06949552969552115,-0.06668962079443401,-0.09045772466140704
2020-02-21,-0.0818720603311774,-0.08303093102956975,-0.06905881078425606
2020-02-24,-0.106736862627081,-0.09453395071196173,-0.14542152283988602
2020-02-25,-0.09310948163419992,-0.06792026647958353,-0.11146035920486978
2020-02-26,-0.04337298352723369,-0.03892357328629319,-0.09721709014021078
2020-02-27,-0.12460511144595472,-0.12187747689216037,-0.1989724591480478
2020-02-28,-0.05982161403341542,-0.02720558787172482,-0.08704166736441514
2020-03-02,0.033863685195067925,0.015120979250009284,0.04239372336873144
2020-03-03,-0.0909960901683285,-0.09933783389160371,-0.06828501003744063
2020-03-04,-0.012852325330117445,-0.01470336592215897,-0.06547460219135419
2020-03-05,-0.09167364373592975,-0.07651328778340087,-0.10412885000849141
2020-03-06,-0.0725169451326307,-0.07968572706845449,-0.09989332443286984
2020-03-09,-0.13832904246652505,-0.11919093521486183,-0.20655187676592052
2020-03-10,0.012784684492864004,0.016965465654339387,-0.00942859573975778
2020-03-11,-0.09396715610050572,-0.09672046651588144,-0.08802707223397947
2020-03-12,-0.1579917218109998,-0.14625670344590985,-0.18699904257455596
2020-03-13,0.060571834552926626,0.09075074774257703,-0.09567717315389639
2020-03-16,-0.1878839936313576,-0.19880842170252094,-0.256604684119261
2020-03-17,-0.015266811511049985,0.030917555594465143,-0.10423708337222297
2020-03-18,-0.08371681616076938,-0.09351422542496383,-0.2311706605621054
2020-03-19,-0.06689900321474491,-0.03496538241205287,0.1130502225933669
2020-03-20,-0.12272228986161178,-0.08897685667503301,-0.07108379317855866
2020-03-23,-0.08048099859872966,-0.0613931072806299,-0.0550148724991764
2020-03-24,0.041088454694988716,0.03947760269134433,0.091990873672209
2020-03-25,-0.06474555210493423,-0.060991097860767216,-0.003004855054494146
2020-03-26,-0.006613724526195755,0.01113275464748216,-0.09139224100305891
2020-03-27,-0.10063910859659715,-0.0924792328387261,-0.09695501349360595
2020-03-30,-0.030698802113441406,0.018921882175856955,-0.0946037681589466
2020-03-31,-0.06127779726195455,-0.06714516827232812,-0.027272157169977704
2020-04-01,-0.1118538940196306,-0.08692684256021037,-0.1518190101161923
2020-04-02,-0.042550033072811314,-0.03070961034777224,-0.1270812841132934
2020-04-03,-0.07360835556126118,-0.0606288316478462,-0.014629272627549025
2020-04-06,0.028000821926582972,0.02294940140006836,0.004650955670078408
2020-04-07,-0.07081917907352604,-0.062188613760239916,-0.014244382556512877
2020-04-08,-0.03364231091237231,-0.0413872919907579,-0.06461162506569056
2020-04-09,-0.05202083649587526,-0.051357348953637236,-0.026806462081004276
2020-04-13,-0.03960902907343751,-0.049178477362359405,0.06521177346642833
2020-04-14,-0.008733803910751473,-0.0019346089470868993,0.019717953586642925
2020-04-15,-0.06836406952162362,-0.061896232112353,-0.04273774129285561
2020-04-16,-0.05129122455144615,-0.021397517575140898,-0.04975321793842018
2020-04-17,-0.07280553526322305,-0.04260671351111815,-0.05917889597721464
2020-04-20,-0.07999323613241678,-0.07123901851371721,-0.08081486792399377
2020-04-21,-0.09014745311090729,-0.0927759340524094,-0.1507343995251586
