Date,PC1,PC2
2020-01-03,0.018230133712637125,-0.025964251960327457
2020-01-06,0.017356529342085023,-0.0006101880030552967
2020-01-07,0.028965992359270124,-0.023937092375180442
2020-01-08,0.05074341519080632,0.002159814130024855
2020-01-09,-0.014598312773541788,0.03009329782481006
2020-01-10,-0.01003688179525232,0.000672494105091806
2020-01-13,0.09613969898982991,-0.015158334670827008
2020-01-14,0.014144792934716682,-0.023140057289733583
2020-01-15,-0.036354476448795414,0.014693913847361427
2020-01-16,-0.004174222347907625,0.02353353154930615
2020-01-17,-0.0042458603960968955,0.012834737160758718
2020-01-21,0.060439753586581275,-0.03415397415385794
2020-01-22,0.034275043012990815,-0.016456001648055052
2020-01-23,0.0038389957780234074,0.005144528312280426
2020-01-24,-0.01865939028014034,-0.0039055578423159154
2020-01-27,-0.026943503586970244,-0.026022825446914193
2020-01-28,0.024235861672318823,0.02511500272447496
2020-01-29,0.029452971408733868,0.014296262618911301
2020-01-30,0.09876102033388356,-0.021613193240855887
2020-01-31,-0.005348995049128974,-0.044837686385573415
2020-02-03,0.186346320275296,-0.061089556153943604
2020-02-04,0.14133174273462035,-0.008762529419382895
2020-02-05,-0.16049945194522025,0.06892357180834677
2020-02-06,0.023135460796154805,0.013617028105556199
2020-02-07,-0.007889088873470798,-0.007872664915447594
2020-02-10,0.03333290058379411,0.008205741103918411
2020-02-11,-0.007032264300072352,-0.020494522505770087
2020-02-12,-0.0048448045202719725,0.019740683955147685
2020-02-13,0.03760659552851163,-0.026518478897373625
2020-02-14,-0.005601251822308931,0.007545657417851903
2020-02-18,0.06169195030034507,-0.033197273643473836
2020-02-19,0.06513319108145542,-0.014682313168532773
2020-02-20,-0.02826938145406907,-0.009613817664128763
2020-02-21,-0.01603592232358153,-0.03646808290439483
2020-02-24,-0.09662073247123412,-0.031595265637957205
2020-02-25,-0.05462159907410394,-0.018057544450871856
2020-02-26,-0.020215357220471533,0.028227496177692196
2020-02-27,-0.15813416675468228,-0.041027648288628184
2020-02-28,-0.012408897573821007,0.021207063302670734
2020-03-02,0.14433589226611848,0.061759792689922474
2020-03-03,-0.021992747349668412,-0.05339585510961969
2020-03-04,0.02383321729690842,0.052161864302157385
2020-03-05,-0.049605678982581725,-0.025473016222581184
2020-03-06,-0.04114350404401529,-0.01652319590337647
2020-03-09,-0.16830202235426872,-0.04545895308139455
2020-03-10,0.0909195963327276,0.06858923100063398
2020-03-11,-0.040446426711398836,-0.04621533452921856
2020-03-12,-0.16252617465179475,-0.08340603126290094
2020-03-13,0.043033760696444635,0.18060895464843174
2020-03-16,-0.24864816475461055,-0.11114391362296425
2020-03-17,-0.0011950907211823736,0.09489953281344565
2020-03-18,-0.16937654202409608,0.01649859254361275
2020-03-19,0.16900672518817225,-0.06382004929027471
2020-03-20,-0.030808755668099902,-0.06647577315902636
2020-03-23,0.0028407912214974546,-0.026733402381650305
2020-03-24,0.19846239366247279,0.06372606674936437
2020-03-25,0.055509750506826216,-0.03568706366614951
2020-03-26,0.008106597623789819,0.082865124960822
2020-03-27,-0.049503304589743974,-0.044482951310014514
2020-03-30,0.00038775845293015365,0.07329466589231677
2020-03-31,0.0324384797569678,-0.028281998133852952
2020-04-01,-0.102047608257124,-0.02759753926061171
2020-04-02,-0.04557043473700903,0.04536368742745619
2020-04-03,0.04236181486948392,-0.03691066547309497
2020-04-06,0.10972052615620326,0.07720831749873486
2020-04-07,0.0431011565200094,-0.03623600396631823
2020-04-08,0.012078140160549797,0.020755903397064724
2020-04-09,0.03944912878719493,-0.012071589740952716
2020-04-13,0.12870264458732328,-0.03711320202203191
2020-04-14,0.10713280372063626,0.03113236097892124
2020-04-15,0.017465128585466838,-0.023704911881578646
2020-04-16,0.025982590661049992,0.01657467908206262
2020-04-17,0.00588103071977758,-0.007867050127678826
2020-04-20,-0.02341614380876411,-0.023119896872094488
2020-04-21,-0.0964710568874616,-0.017527937479978876
2020-04-22,0.07450502468037692,0.01593212598656866
2020-04-23,-0.04100719872548381,0.0028787885353177486
2020-04-24,0.03494350047374609,0.020203065591272124
2020-04-27,0.09013588974903762,-0.03989641422978244
2020-04-28,-0.048408625464303745,-0.012883641847822196
2020-04-29,0.05497282688797441,0.035220213091993205
2020-04-30,-0.016491899692321954,0.028893104331973233
2020-05-01,-0.10984690678569684,0.011009019913007949
2020-05-04,0.08586274128650818,-0.007165201995646596
2020-05-05,0.012090800368507529,0.013114568740517918
2020-05-06,0.019342178318899603,0.005876788596729361
2020-05-07,-0.002007758298499418,0.011523674284301844
2020-05-08,0.051536581256570395,0.00020940287906225097
2020-05-11,-0.00533484832414409,0.021070599698663345
2020-05-12,-0.014425943527713952,-0.021711461930940902
2020-05-13,-0.03166820201865431,-0.009521396858350475
2020-05-14,0.013942794074601444,0.0006928445185302237
2020-05-15,-0.006112999443260811,0.007259047053758072
2020-05-18,0.022394387129296575,0.01463590241783708
2020-05-19,-0.013119279308500598,-0.00601088326138445
2020-05-20,0.014234935229205034,0.01803449504861396
2020-05-21,0.005198461998469489,-0.018588376289897922
2020-05-22,-0.013449567424793737,0.009104359214704538
2020-05-26,-0.005665629964062419,-0.012561334244914485
2020-05-27,-0.0002681293474358082,0.0028111565237992076
2020-05-28,-0.020090281252599845,0.005142447545380999
2020-05-29,0.032510751004490024,-0.007921412646508308
2020-06-01,0.06949543664006005,-0.022133649353244016
2020-06-02,-0.016244759667668834,0.017101230901838793
2020-06-03,0.0002660348519984007,0.00431892661046307
2020-06-04,-0.02858439932323506,-0.006624852717155065
